x	y	emax	trend	emin	trend	
21.5545	36.4034	4.7297e-08	56.84	-4.9570e-10	326.84	
21.7776	36.4022	5.5277e-08	56.34	-2.4655e-09	326.34	
22.0006	36.4005	6.1880e-08	60.04	-5.1605e-09	330.04	
22.2236	36.3985	6.4996e-08	67.93	-9.3109e-09	337.93	
22.4465	36.3960	6.5613e-08	76.82	-1.4277e-08	346.82	
22.6695	36.3931	6.8736e-08	81.38	-1.7724e-08	351.38	
22.8924	36.3897	6.8713e-08	82.76	-1.9006e-08	352.76	
23.1153	36.3860	5.5509e-08	83.30	-1.9314e-08	353.30	
21.3323	36.5846	3.9667e-08	64.35	2.5803e-09	334.35	
21.5558	36.5837	4.5507e-08	61.72	3.9407e-09	331.72	
21.7794	36.5825	5.1686e-08	58.80	2.9930e-09	328.80	
22.0029	36.5808	5.8350e-08	59.38	1.9976e-10	329.38	
22.2264	36.5787	6.3968e-08	63.90	-3.9603e-09	333.90	
22.4499	36.5762	6.2766e-08	71.62	-8.7985e-09	341.62	
22.6734	36.5733	6.0286e-08	79.54	-1.3189e-08	349.54	
22.8968	36.5699	5.8342e-08	82.96	-1.5682e-08	352.96	
23.1202	36.5662	4.5880e-08	82.74	-1.6443e-08	352.74	
23.3435	36.5620	1.5556e-08	80.86	-1.6213e-08	350.86	
21.1089	36.7653	3.7324e-08	23.64	1.5711e-09	113.64	
21.3330	36.7649	4.1212e-08	53.77	5.7040e-09	323.77	
21.5571	36.7640	4.5733e-08	64.25	6.8982e-09	334.25	
21.7812	36.7628	4.9681e-08	65.16	7.8542e-09	335.16	
22.0052	36.7611	5.3728e-08	63.29	5.9725e-09	333.29	
22.2293	36.7590	5.7937e-08	64.81	1.8187e-09	334.81	
22.4533	36.7565	5.6687e-08	70.45	-2.7846e-09	340.45	
22.6773	36.7535	5.0958e-08	79.12	-5.9335e-09	349.12	
22.9012	36.7501	4.7517e-08	84.54	-8.4577e-09	354.54	
23.1251	36.7464	3.8527e-08	83.90	-1.0099e-08	353.90	
23.3490	36.7421	1.5978e-08	74.87	-1.0829e-08	344.87	
20.6600	36.9451	3.6652e-08	329.04	-1.4992e-07	59.04	
20.8846	36.9456	3.5741e-08	332.17	-1.0475e-07	62.17	
21.1092	36.9456	3.2093e-08	350.10	-2.7437e-08	80.10	
21.3338	36.9452	4.0717e-08	31.67	5.1593e-10	121.67	
21.5584	36.9443	4.5607e-08	52.34	5.7037e-09	322.34	
21.7830	36.9430	4.9541e-08	65.58	8.8995e-09	335.58	
22.0076	36.9414	5.2334e-08	69.63	8.1185e-09	339.63	
22.2322	36.9392	5.2167e-08	70.26	3.9367e-09	340.26	
22.4567	36.9367	4.8295e-08	74.63	-5.1317e-10	344.63	
22.6812	36.9337	4.3097e-08	81.66	-2.6532e-09	351.66	
22.9057	36.9303	3.9767e-08	86.35	-3.8848e-09	356.35	
23.1301	36.9265	3.2669e-08	86.19	-4.5771e-09	356.19	
23.3545	36.9223	1.5161e-08	71.49	-6.7500e-09	341.49	
23.5788	36.9176	9.7046e-09	56.69	-5.4320e-09	326.69	
20.4340	37.1246	4.0207e-08	331.87	-1.3792e-07	61.87	
20.6592	37.1254	3.7364e-08	329.05	-1.6005e-07	59.05	
20.8843	37.1259	3.6017e-08	328.64	-1.5137e-07	58.64	
21.1095	37.1259	3.1754e-08	331.23	-9.6680e-08	61.23	
21.3346	37.1254	2.5149e-08	358.10	-1.5080e-08	88.10	
21.5597	37.1246	4.2846e-08	37.47	-1.5392e-09	127.47	
21.7849	37.1233	4.8310e-08	52.98	4.0857e-09	322.98	
22.0100	37.1216	5.3033e-08	67.42	6.0797e-09	337.42	
22.2351	37.1195	5.1931e-08	72.96	2.0734e-09	342.96	
22.4602	37.1169	4.5100e-08	75.72	-1.1612e-09	345.72	
22.6852	37.1139	3.8492e-08	79.99	-1.8531e-09	349.99	
22.9102	37.1105	3.2088e-08	83.46	-1.7550e-09	353.46	
23.1351	37.1067	2.3272e-08	81.91	-1.5298e-09	351.91	
23.3601	37.1024	1.3338e-08	60.85	-5.3646e-09	330.85	
23.5849	37.0977	1.2618e-08	40.50	-4.8315e-09	130.50	
23.8097	37.0926	1.5630e-08	26.89	-1.2704e-09	116.89	
24.0345	37.0871	1.6498e-08	23.36	-1.3390e-09	113.36	
24.4838	37.0747	1.0363e-08	7.33	-3.6045e-09	97.33	
24.7083	37.0679	1.0461e-08	9.01	-5.4654e-09	99.01	
20.2070	37.3035	4.5781e-08	335.47	-9.3095e-08	65.47	
20.4327	37.3048	4.5208e-08	335.69	-1.2399e-07	65.69	
20.6583	37.3057	4.2082e-08	332.62	-1.4571e-07	62.62	
20.8840	37.3061	3.8861e-08	329.79	-1.5782e-07	59.79	
21.1097	37.3061	3.5356e-08	328.83	-1.4329e-07	58.83	
21.3354	37.3057	2.5129e-08	332.46	-7.2156e-08	62.46	
21.5611	37.3049	2.8713e-08	19.68	-6.1480e-09	109.68	
21.7867	37.3036	4.6933e-08	42.47	-1.6461e-09	132.47	
22.0124	37.3019	5.0044e-08	56.28	3.4168e-09	326.28	
22.2380	37.2997	4.9101e-08	67.51	3.4172e-09	337.51	
22.4636	37.2971	4.2205e-08	70.63	1.9122e-10	340.63	
