  X (m)     Y (m)       Ux          Uy         tauy        omega       taux        tauxy       emax        emin       taumax      dexazim      dilat   
 36.75029  22.43953       +3.4      -11.0      +14.6     +267.3      -81.3     -273.1     +243.9     -310.6     +277.3      +50.0      -66.7
 36.74220  22.99937       +6.3      -11.6      -13.5      -81.0      -51.1      +89.4      +59.1     -123.6      +91.3      -50.9      -64.5
 37.20642  21.88471       +4.0      -13.1       +7.0      -23.2      -36.4       -7.5       +8.2      -37.7      +22.9      +80.4      -29.4
 37.20087  22.44805      +10.0      -12.3     -203.1     -241.2      +15.7     -169.5     +108.0     -295.4     +201.7      +28.6     -187.4
 37.19265  23.01119       +7.1      -10.4      -21.0      -71.9      -57.9      +63.1      +26.2     -105.2      +65.7      -53.2      -79.0
 37.65997  21.32319       +9.2       -7.5      -27.7      -81.2      +51.0      +25.5      +58.5      -35.3      +46.9      -16.5      +23.2
 37.65706  21.89003       +7.0      -12.6      -39.3      -80.8      +48.7       -1.0      +48.7      -39.3      +44.0       +0.7       +9.4
 37.65142  22.45675       +6.8      -12.2      +34.2      +18.7      -36.6      -25.4      +42.4      -44.8      +43.6      +72.2       -2.4
 37.64306  23.02328       +8.5      -10.1      +78.3      -42.9      +33.7      +25.5      +89.8      +22.1      +33.9      -65.6     +112.0
 37.63198  23.58953       +7.4      -12.3       -8.4      -15.6       +5.1       +1.6       +5.2       -8.6       +6.9       -6.5       -3.4
 38.11081  20.75481      +17.6       +7.3      -59.0      +80.6      -60.4     -115.3      +55.6     -175.1     +115.3      +45.2     -119.5
 38.11062  21.32516      +11.8       -4.6      -94.1      -82.4      +73.8      +51.8      +88.5     -108.8      +98.6      -15.9      -20.3
 38.10766  21.89547       +8.1       -9.2     -358.8     -124.9      +92.2       +4.2      +92.3     -358.9     +225.6       -0.5     -266.6
 38.10193  22.46565       +8.6       -9.9     -226.4      -77.8      -82.1      -92.1      -37.3     -271.2     +117.0      +26.0     -308.5
 38.09343  23.03564      +10.1      -11.0     -104.5      -46.8       -9.8      -45.0       +8.2     -122.5      +65.3      +21.8     -114.3
 38.08218  23.60534       +5.8      -12.8      -22.7     +154.4      -57.4     +132.9      +94.0     -174.1     +134.1      -48.7      -80.1
 38.56143  20.75329      +14.8       -8.2      -60.8     -537.8     +240.1     +501.8     +613.4     -434.2     +523.8      -36.7     +179.3
 38.56123  21.32718      +12.3       +6.3      -36.5     +392.5     -194.4      +34.1      -29.4     -201.5      +86.0      -78.3     -230.9
 38.55822  21.90103      +10.8       +3.4     -233.3      -62.4      -34.3       -1.7      -34.3     -233.3      +99.5       +0.5     -267.6
 38.55240  22.47475      +11.6       -1.5     -157.5      -96.5       +6.4      +10.0       +7.0     -158.1      +82.6       -3.5     -151.1
 38.54377  23.04827       -7.6      -27.9     -912.6    -1620.8    +2443.4     +900.8    +2669.9    -1139.1    +1904.5      -14.1    +1530.7
 39.01201  20.75173      +16.7       +3.1     +234.6     +229.0     +137.7     -233.7     +424.8      -52.5     +238.7      +50.9     +372.3
 39.01181  21.32925       +9.9       +4.1      +52.8      -23.7     +179.4     -140.3     +270.0      -37.8     +153.9      +32.9     +232.2
 39.00875  21.90672      +13.9       +4.8      +37.1      -39.4      -53.5       -5.0      +37.3      -53.8      +45.6      +86.8      -16.4
 39.00283  22.48406      +15.9       +0.9      -26.8      -62.2       +4.9      -15.3      +11.0      -33.0      +22.0      +22.0      -22.0
 38.99406  23.06119      +15.8       -2.3      -46.1      -66.8       -2.6       -7.8       -1.3      -47.4      +23.1       +9.8      -48.7
 39.45985  20.16895       +0.0       +0.0    -1922.0     -935.7    -1276.1    -1832.9     +262.1    -3460.2    +1861.2      +40.0    -3198.1
 39.46255  20.75014      +19.5      +11.7      -25.8     -111.1      +17.1      -45.1      +45.6      -54.3      +49.9      +32.3       -8.7
 39.46235  21.33136      +16.4       +6.3      -12.5     -133.1      +80.4       -8.8      +81.2      -13.4      +47.3       +5.3      +67.8
 39.45924  21.91254      +49.9      +31.9    +2502.9    +1626.0     -528.6    +1215.5    +2930.0     -955.8    +1942.9      -70.6    +1974.2
 39.45323  22.49358      +19.8       +3.0      -43.6      -63.0       +9.5       -3.5       +9.7      -43.8      +26.8       +3.8      -34.1
