Site Lon Lat "Ve (mm/yr)" "σe (mm/yr)" "Vn (mm/yr)" "σn (mm/yr)" "# Epochs" "T (years)" "Avg Epoch time"
ACER 15.94236 40.78666 23.425 0.164 19.24 0.153 3003 8.474 2011.76165
ACOR -8.39893 43.36438 20.79 0.126 16.46 0.124 5516 15.9973 2008
AGDE 3.46643 43.29638 19.63 0.204 16.605 0.301 2793 8.3233 2011.83695
AJAC 8.76262 41.92746 21.076 0.138 15.91 0.122 5151 15.8467 2007.9821
ALAC -0.48123 38.33892 20.05 0.125 16.74 0.111 5686 15.9973 2008
ALBA -1.8564 38.97792 18.727 0.153 16.265 0.164 3036 8.3671 2011.81505
ALBI 16.45592 39.94578 22.875 0.401 19.805 1.022 1308 3.6393 2014.17895
ALCI 38.9061 48.45694 24.46 0.237 11.181 0.239 1845 5.4164 2011.8192
ALME -2.45945 36.85254 18.618 0.126 16.175 0.129 5380 15.0027 2008.49725
AMUR 16.60404 40.90726 23.41 0.114 19.282 0.096 3597 10.389 2010.8041
ANCN 13.53162 43.60715 22.73 0.307 17.33 0.647 1605 4.4137 2013.79175
AQUI 13.35025 42.36824 21.435 0.233 16.898 0.186 5556 15.9973 2008
ARGI -6.78352 61.99737 11.719 0.29 16.82 0.263 1884 5.1644 2013.41645
ARJ6 18.12497 66.31803 15.039 0.245 14.9 0.267 1510 4.4247 2013.7863
ATAL 22.99935 38.65306 12.22 0.23 -5.33 0.326 1992 6.674 2012.5712
ATBU 12.54781 43.47602 22.737 0.299 18.79 0.25 2027 5.6767 2013.16025
ATFO 12.56712 43.37006 23.44 0.281 19.712 0.294 1593 6.4192 2012.7288
ATLO 12.40714 43.31513 20.8 0.214 16.71 0.165 2078 5.7726 2013.1123
ATMI 12.26727 43.33396 20.48 0.452 16.261 0.269 1277 3.929 2014.03415
ATTE 12.35055 43.19982 20.931 0.228 16.764 0.164 2093 5.7699 2013.1137
AUBU 7.19671 48.21685 19.67 0.211 15.77 0.205 2705 7.4918 2012.2527
AUT1 23.00372 40.56682 24.83 0.134 6.4 0.15 3906 10.7534 2010.6219
AUTN 4.28898 46.95384 19.44 0.143 15.85 0.166 3738 10.6082 2010.5904
AVR1 5.65323 44.95607 19.455 0.211 15.623 0.206 1407 4.9973 2013.5
AXPV 5.3332 43.49122 19.94 0.13 16.47 0.149 4393 13.2767 2009.36025
BACA 26.91222 46.56206 22.33 0.126 13.3 0.127 3612 9.9479 2011.02465
BADH 8.60985 50.22798 19.156 0.149 15.77 0.13 3921 10.8384 2010.57945
BAIA 23.55772 47.65179 22.21 0.122 13.58 0.139 3617 9.9479 2011.02465
BARS 13.58159 42.33659 21.671 0.28 17.065 0.362 1651 5.2575 2013.36985
BAUB 3.96697 43.8769 19.901 0.214 15.891 0.24 1788 5.4329 2010.5726
BBYS 19.151 48.7518 21.168 0.158 14.59 0.159 4216 12.4932 2009.75205
BCLN 2.00416 41.40542 20.125 0.298 16.59 0.244 1415 3.8962 2014.05055
BELL 1.40114 41.59962 19.62 0.121 16.19 0.139 5782 15.9973 2008
BGDR 11.89496 43.88906 21.24 0.378 17.598 0.271 1056 3.4344 2014.2814
BISK 17.4286 50.25673 20.68 0.126 14.49 0.161 3721 10.7781 2010.57395
BLGN 11.35057 44.511 22.37 0.273 17.976 0.227 2770 7.6475 2012.17485
BLIX 6.36669 43.87354 20.243 0.203 15.96 0.218 2339 6.6849 2012.65615
BOGI 21.03522 52.47499 20.71 0.089 14.45 0.101 4968 14.0986 2008.9493
BOGO 21.03535 52.47595 20.597 0.091 14.44 0.087 5722 15.9973 2008
BOLG 11.35678 44.50022 21.982 0.219 18.68 0.193 3990 11.3197 2010.3388
BOR1 17.07346 52.27696 20.002 0.082 14.696 0.083 5829 15.9973 2008
BORJ 6.66643 53.57891 17.609 0.098 15.66 0.126 3827 10.5616 2010.7178
BORK 6.74744 53.56364 17.66 0.157 15.59 0.172 2384 6.5886 2004.129
BORR -0.08321 39.90518 20.08 0.131 16.223 0.137 3014 8.263 2011.8671
BPDL 23.12735 52.03528 21 0.242 14.09 0.208 2769 7.7432 2012.12705
BRAS 11.11308 44.12217 21.33 0.146 17.278 0.201 3924 10.8356 2010.5808
BRIS 11.76605 44.22482 22.219 0.15 19.341 0.201 1935 5.6 2013.1986
BRST -4.49659 48.38049 16.9 0.18 16.917 0.144 5247 15.9973 2008
BRUS 4.35922 50.79782 18.035 0.129 16.068 0.112 4404 12.1202 2006.0615
BSCN 5.98939 47.24688 19.46 0.117 15.825 0.117 4892 14.2082 2008.8945
BSSO 14.59403 41.54605 22.65 0.165 18.331 0.15 3785 10.9616 2010.5178
BUAN 5.3536 48.48615 18.81 0.166 16.08 0.113 2710 7.8192 2011.7767
BUCU 26.12574 44.46395 23.17 0.094 12.371 0.1 5819 15.9973 2008
BULG 15.3777 40.07818 22.268 0.142 17.526 0.141 3224 9.4055 2011.29585
BYDG 17.99363 53.13456 19.61 0.133 14.55 0.163 2796 7.7459 2012.12565
BZRG 11.3368 46.49902 20.06 0.139 15.98 0.131 5814 15.9973 2008
CACE -6.34178 39.47886 18.32 0.13 16.91 0.137 5134 14.8384 2008.57945
